,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
254,CNS,60,7129,mRmr,RandomForest,4,LOOCV,61,MCC,0.26865930502743096,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
255,CNS,60,7129,mRmr,RandomForest,4,LOOCV,61,AUC,0.6593406593406593,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
256,CNS,60,7129,mRmr,RandomForest,4,LOOCV,61,PR-AUC,0.5401725882852172,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
257,CNS,60,7129,mRmr,RandomForest,4,LOOCV,61,fit_time,0.019942045211791992,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
258,CNS,60,7129,mRmr,RandomForest,4,LOOCV,61,pred_time,0.0,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
259,CNS,60,7129,mRmr,LogisticsRegression,4,LOOCV,61,ACC,0.6,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
260,CNS,60,7129,mRmr,LogisticsRegression,4,LOOCV,61,MCC,-0.16834512458535864,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
261,CNS,60,7129,mRmr,LogisticsRegression,4,LOOCV,61,AUC,0.2893772893772894,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
262,CNS,60,7129,mRmr,LogisticsRegression,4,LOOCV,61,PR-AUC,0.245799569597966,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
263,CNS,60,7129,mRmr,LogisticsRegression,4,LOOCV,61,fit_time,0.0009965896606445312,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
