,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
1216,GDS4824,21,30803,Fdr,RandomForest,20,Leave-pair-out,211,ACC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1217,GDS4824,21,30803,Fdr,RandomForest,20,Leave-pair-out,211,MCC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1218,GDS4824,21,30803,Fdr,RandomForest,20,Leave-pair-out,211,AUC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1219,GDS4824,21,30803,Fdr,RandomForest,20,Leave-pair-out,211,PR-AUC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1220,GDS4824,21,30803,Fdr,RandomForest,20,Leave-pair-out,211,fit_time,0.11494922637939453,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1221,GDS4824,21,30803,Fdr,RandomForest,20,Leave-pair-out,211,pred_time,0.011242866516113281,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1222,GDS4824,21,30803,Fdr,LogisticsRegression,20,Leave-pair-out,211,ACC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1223,GDS4824,21,30803,Fdr,LogisticsRegression,20,Leave-pair-out,211,MCC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1224,GDS4824,21,30803,Fdr,LogisticsRegression,20,Leave-pair-out,211,AUC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
1225,GDS4824,21,30803,Fdr,LogisticsRegression,20,Leave-pair-out,211,PR-AUC,1.0,IQGAP1;KCTD9;AF130091;SPG20;GPRC5B;XYLB;RHOQ;MAPRE1;FOXO1;235759_at;SLC16A2;KIAA1549;PTRF;SIN3A;CRISPLD2;AW207471;AW444511;ANXA2P2;MMGT1;VEZF1,2.763955526260946e-07;3.6617712009840325e-07;3.8960485799621783e-07;8.159222821982375e-07;1.208683351351352e-06;1.2260483803706912e-06;1.4728129019919908e-06;1.472983714571002e-06;1.5659746123745346e-06;1.584518767793586e-06;1.6927405888034302e-06;1.979314273613971e-06;2.064192107163071e-06;2.1403801975800388e-06;2.2220772723761614e-06;2.2305596528632617e-06;2.8272962084229907e-06;2.8766736511052046e-06;3.079190177401807e-06;3.405738086244377e-06
