,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
1283,ayeastCC,50,6228,Fdr,LogisticsRegression,10,LOOCV,51,MCC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1284,ayeastCC,50,6228,Fdr,LogisticsRegression,10,LOOCV,51,AUC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1285,ayeastCC,50,6228,Fdr,LogisticsRegression,10,LOOCV,51,PR-AUC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1286,ayeastCC,50,6228,Fdr,LogisticsRegression,10,LOOCV,51,fit_time,0.0053255558013916016,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1287,ayeastCC,50,6228,Fdr,LogisticsRegression,10,LOOCV,51,pred_time,0.0001430511474609375,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1288,ayeastCC,50,6228,Fdr,NB,10,LOOCV,51,ACC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1289,ayeastCC,50,6228,Fdr,NB,10,LOOCV,51,MCC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1290,ayeastCC,50,6228,Fdr,NB,10,LOOCV,51,AUC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1291,ayeastCC,50,6228,Fdr,NB,10,LOOCV,51,PR-AUC,1.0,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
1292,ayeastCC,50,6228,Fdr,NB,10,LOOCV,51,fit_time,0.0008482933044433594,YLR264W;YOR344C;YGR183C;YHL012W;YNR060W;YDL070W;YDL038C;YOR338W;YIL080W;YDR492W,9.305913435267738e-33;2.660178608576816e-32;3.557998979646041e-32;7.587498254809876e-32;1.2417112383846796e-31;1.4184496403198422e-31;4.167669996551332e-31;1.0836317140610633e-30;3.302019610227245e-30;1.2843100955810466e-29
